date,campaign,new_clients_autocredenciamento,new_clients,investment_digital_marketing,audience
2023-05-28,0,666,2374,198.54,NA
2023-05-29,0,1214,4383,492.57,NA
2023-05-30,0,1060,6455,353.38,NA
2023-05-31,0,1102,5604,453.57,NA
2023-06-01,0,1247,5603,494.41,NA
2023-06-02,0,981,4377,285.01,NA
2023-06-03,0,627,2121,212.51,NA
2023-06-04,0,674,1979,233.01,NA
2023-06-05,0,986,4797,289.44,NA
2023-06-06,0,1332,4897,373.27,NA
2023-06-07,0,1155,4785,334.69,NA
2023-06-08,0,830,2903,253.8,NA
2023-06-09,0,1105,3383,338.97,NA
2023-06-10,0,613,1329,194.91,NA
2023-06-11,0,655,1489,225.19,NA
2023-06-12,0,905,5550,343.45,NA
2023-06-13,0,1070,3323,398.37,NA
2023-06-14,0,1372,4697,527.89,NA
2023-06-15,0,1302,3935,452.82,NA
2023-06-16,0,1059,3412,411.23,NA
2023-06-17,0,723,2769,259.93,NA
2023-06-18,0,561,1830,209.63,NA
2023-06-19,0,1133,5795,323.15,NA
2023-06-20,0,1017,5343,394.9,NA
2023-06-21,0,1349,3918,491.42,NA
2023-06-22,0,849,2359,276.11,NA
2023-06-23,0,1006,2677,378.58,NA
2023-06-24,0,550,2301,197.19,NA
2023-06-25,0,648,1456,228.77,NA
2023-06-26,0,1096,3626,420.16,NA
2023-06-27,0,1277,4754,454.31,NA
2023-06-28,0,1037,3141,334.33,NA
2023-06-29,0,1033,4465,368.6,NA
2023-06-30,0,726,6291,273.8,NA
2023-07-01,0,855,2148,334.29,NA
2023-07-02,0,944,1992,341.42,NA
2023-07-03,0,1449,3601,546.16,NA
2023-07-04,0,1250,5602,384.52,NA
2023-07-05,0,880,2899,360.42,NA
2023-07-06,0,1480,5480,545.8,NA
2023-07-07,0,843,4352,248.11,NA
2023-07-08,0,807,2944,256.29,NA
2023-07-09,0,788,1643,330.07,NA
2023-07-10,0,1072,4185,302.27,NA
2023-07-11,0,1227,5066,377.23,NA
2023-07-12,0,1223,3788,481.23,NA
2023-07-13,0,795,3826,234.17,NA
2023-07-14,0,782,2811,265.43,NA
2023-07-15,0,742,1207,277.66,NA
2023-07-16,0,615,1906,256.3,NA
2023-07-17,0,695,7216,246.18,NA
2023-07-18,0,1263,4985,521.07,NA
2023-07-19,0,1438,5013,568.51,NA
2023-07-20,0,1227,4191,506.18,NA
2023-07-21,0,1318,4615,372.69,NA
2023-07-22,0,652,2043,263.16,NA
2023-07-23,0,785,1906,226.08,NA
2023-07-24,0,1142,5481,434.93,NA
2023-07-25,0,1148,4805,420.19,NA
2023-07-26,0,894,5337,344.9,NA
2023-07-27,0,917,3979,290.27,NA
2023-07-28,0,1232,3465,432.09,NA
2023-07-29,0,911,2544,359.09,NA
2023-07-30,0,666,2088,227.58,NA
2023-07-31,0,1187,5191,438.24,NA
2023-08-01,0,798,5563,329.48,NA
2023-08-02,0,889,4566,326.56,NA
2023-08-03,0,710,5763,252.07,NA
2023-08-04,0,1039,2572,347.3,NA
2023-08-05,0,651,1217,248.4,NA
2023-08-06,0,1078,1844,386.54,NA
2023-08-07,0,1089,4347,361.87,NA
2023-08-08,0,1617,4607,650.76,NA
2023-08-09,0,597,4553,229.49,NA
2023-08-10,0,898,2886,343.36,NA
2023-08-11,0,1354,4447,498.64,NA
2023-08-12,0,742,2255,257.65,NA
2023-08-13,0,492,2076,170.06,NA
2023-08-14,0,834,4732,247.16,NA
2023-08-15,0,1133,4757,455.06,NA
2023-08-16,0,1175,4695,396.9,NA
2023-08-17,0,861,4583,278.77,NA
2023-08-18,0,898,3350,359.38,NA
2023-08-19,0,827,2414,261.94,NA
2023-08-20,0,623,1236,255.72,NA
2023-08-21,0,1254,1702,442.56,NA
2023-08-22,0,1309,3159,493.15,NA
2023-08-23,0,982,5484,284.48,NA
2023-08-24,0,968,3611,281.22,NA
2023-08-25,0,889,4588,286.62,NA
2023-08-26,0,689,3171,284.54,NA
2023-08-27,0,524,2009,146.84,NA
2023-08-28,0,837,3221,333.33,NA
2023-08-29,0,1157,4070,422.68,NA
2023-08-30,0,933,4704,331.29,NA
2023-08-31,0,1164,6360,459.24,NA
2023-09-01,0,1279,2945,361.47,NA
2023-09-02,0,556,1984,157.09,NA
2023-09-03,0,641,1795,214.25,NA
2023-09-04,0,1018,4497,313.38,NA
2023-09-05,0,1595,2643,610.17,NA
2023-09-06,0,1118,4698,343.81,NA
2023-09-07,0,748,1711,286.24,NA
2023-09-08,0,463,4197,152.86,NA
2023-09-09,0,620,1552,177.83,NA
2023-09-10,0,579,1516,178.98,NA
2023-09-11,0,1167,4568,486.91,NA
2023-09-12,0,1037,2874,328.5,NA
2023-09-13,0,1330,3558,514.1,NA
2023-09-14,0,934,3736,389.7,NA
2023-09-15,0,658,5239,231.05,NA
2023-09-16,0,602,2692,187.78,NA
2023-09-17,0,857,1293,270.39,NA
2023-09-18,0,823,3916,233.23,NA
2023-09-19,0,918,4392,309.48,NA
2023-09-20,0,1076,4861,344.51,NA
2023-09-21,0,875,4972,317.26,NA
2023-09-22,0,1040,3187,354.18,NA
2023-09-23,0,538,1782,188.46,NA
2023-09-24,0,666,2174,208.93,NA
2023-09-25,0,1112,4450,421.97,NA
2023-09-26,0,737,6949,291.62,NA
2023-09-27,0,913,5128,256.75,NA
2023-09-28,0,760,4264,229.39,NA
2023-09-29,0,978,4399,386.98,NA
2023-09-30,0,705,4125,244.2,NA
2023-10-01,0,743,1698,225.72,NA
2023-10-02,0,976,3301,389.96,NA
2023-10-03,0,773,4488,314,NA
2023-10-04,0,1185,2591,397.6,NA
2023-10-05,0,1304,4265,518.22,NA
2023-10-06,0,898,3296,252.38,NA
2023-10-07,0,688,2431,264.91,NA
2023-10-08,0,720,1628,294.49,NA
2023-10-09,0,1194,4415,435.85,NA
2023-10-10,0,1423,3964,507.04,NA
2023-10-11,0,1131,3502,372.9,NA
2023-10-12,0,674,2683,268.66,NA
2023-10-13,0,856,1694,272.8,NA
2023-10-14,0,445,2266,135.22,NA
2023-10-15,0,743,1367,287.86,NA
2023-10-16,0,979,3209,329.34,NA
2023-10-17,0,1117,5421,435.64,NA
2023-10-18,0,942,5420,268.79,NA
2023-10-19,0,898,3081,274.32,NA
2023-10-20,0,808,4477,286.66,NA
2023-10-21,0,739,1884,230.39,NA
2023-10-22,0,542,1637,196.12,NA
2023-10-23,0,793,3153,321.3,NA
2023-10-24,0,1211,3470,398.52,NA
2023-10-25,0,852,5844,261.11,NA
2023-10-26,0,645,6164,228.35,NA
2023-10-27,0,662,4904,200.7,NA
2023-10-28,0,525,1636,203.73,NA
2023-10-29,0,533,1613,213.24,NA
2023-10-30,0,794,2986,241.94,NA
2023-10-31,0,710,6208,260.71,NA
2023-11-01,0,930,4208,371.77,NA
2023-11-02,0,954,1888,334.6,NA
2023-11-03,0,476,2420,166.44,NA
2023-11-04,0,677,2160,211.46,NA
2023-11-05,0,643,1403,218.34,NA
2023-11-06,0,604,4822,181.68,NA
2023-11-07,0,1229,5409,344.44,NA
2023-11-08,0,790,5041,245.37,NA
2023-11-09,0,1328,4769,479.44,NA
2023-11-10,0,984,3064,279.2,NA
2023-11-11,0,583,2194,167.54,NA
2023-11-12,0,577,1403,227.38,NA
2023-11-13,0,1043,5384,301.35,NA
2023-11-14,0,1284,3994,433.37,NA
2023-11-15,0,683,3674,192.38,NA
2023-11-16,0,927,3792,358.25,NA
2023-11-17,0,1005,3545,362.8,NA
2023-11-18,0,589,3040,227.96,NA
2023-11-19,0,604,1333,172.07,NA
2023-11-20,0,999,3728,301.28,NA
2023-11-21,0,963,4531,372.23,NA
2023-11-22,0,901,2963,283.01,NA
2023-11-23,0,1137,4875,383.48,NA
2023-11-24,0,521,3169,209.52,NA
2023-11-25,0,625,2859,253.06,NA
2023-11-26,0,749,1642,311.57,NA
2023-11-27,0,1078,5080,313.41,NA
2023-11-28,0,1084,5576,454.05,NA
2023-11-29,0,806,5609,273.56,NA
2023-11-30,0,1046,7432,342.32,NA
2023-12-01,0,1101,5274,317.47,NA
2023-12-02,0,677,2491,282.94,NA
2023-12-03,0,752,1514,288.95,NA
2023-12-04,0,769,2624,295.18,NA
2023-12-05,0,1081,4947,393.2,NA
2023-12-06,0,912,3004,290.47,NA
2023-12-07,0,1245,4070,462.52,NA
2023-12-08,0,819,1775,238.06,NA
2023-12-09,0,541,1738,172.2,NA
2023-12-10,0,571,1749,172.8,NA
2023-12-11,0,1140,4764,439.94,NA
2023-12-12,0,906,4969,263.15,NA
2023-12-13,0,1207,3564,374.11,NA
2023-12-14,0,837,4485,262.7,NA
2023-12-15,0,903,4247,316.74,NA
2023-12-16,0,522,2020,181.91,NA
2023-12-17,0,499,1360,202.85,NA
2023-12-18,0,864,2938,362.1,NA
2023-12-19,0,871,4938,286.96,NA
2023-12-20,0,903,4674,332.09,NA
2023-12-21,0,1101,2363,308.37,NA
2023-12-22,0,451,2620,177.06,NA
2023-12-23,0,526,1401,186.69,NA
2023-12-24,0,405,963,114.81,NA
2023-12-25,0,366,674,144.77,NA
2023-12-26,0,534,2410,151.03,NA
2023-12-27,0,733,2371,239.04,NA
2023-12-28,0,644,3887,191.37,NA
2023-12-29,0,823,2589,256.84,NA
2023-12-30,0,425,1516,134.91,NA
2023-12-31,0,286,1300,82.96,NA
2024-01-01,0,415,632,129.73,NA
2024-01-02,0,1101,2330,411.3,NA
2024-01-03,0,1268,3023,444.12,NA
2024-01-04,0,1052,2799,410.46,NA
2024-01-05,0,764,2483,287.43,NA
2024-01-06,0,420,1904,167.78,NA
2024-01-07,0,588,745,244.29,NA
2024-01-08,0,1265,3319,519.12,10.27
2024-01-09,0,1232,4621,493.82,10.75
2024-01-10,0,1109,3502,400.86,10.28
2024-01-11,0,1068,3328,349.06,9.74
2024-01-12,0,1058,3558,320.26,9.93
2024-01-13,0,653,1959,240.76,9.13
2024-01-14,0,594,1294,205.21,7.04
2024-01-15,0,702,4685,265.62,10
2024-01-16,1,3021,10444,877.93,9.2
2024-01-17,0,1167,6077,411.43,9.23
2024-01-18,0,1384,8545,459.58,9.18
2024-01-19,0,1163,3451,335.71,9.18
2024-01-20,0,821,2993,298.28,9.71
2024-01-21,0,635,1541,182.26,6.84
2024-01-22,0,1038,5350,434.28,8.75
2024-01-23,0,1027,4140,298.54,8.94
2024-01-24,1,2448,3815,831.74,8.51
2024-01-25,0,1108,4223,363.75,8.44
2024-01-26,0,726,4329,236.02,9.14
2024-01-27,0,728,1863,282.42,8.32
2024-01-28,0,592,2382,220.4,6.86
2024-01-29,0,1062,3738,444.06,9.33
2024-01-30,0,900,7774,313.9,8.75
2024-01-31,1,2549,6263,754.33,NA
2024-02-01,0,1634,4371,560.71,9.2
2024-02-02,0,1197,3505,410.58,8.95
2024-02-03,0,823,4019,317.93,8.42
2024-02-04,1,2271,3441,800.77,7.28
2024-02-05,0,1642,4418,490.73,9.46
2024-02-06,0,1401,5422,572.47,9.46
2024-02-07,0,1725,7152,485.3,8.25
2024-02-08,0,1375,6077,401.37,8.22
2024-02-09,0,1105,4076,320.87,8.75
2024-02-10,0,705,2595,262.43,7.71
2024-02-11,0,543,893,204.97,7.15
2024-02-12,0,617,2449,255.09,9.01
2024-02-13,0,782,2451,221.01,9.56
2024-02-14,0,879,2921,257.94,NA
2024-02-15,0,1389,3791,552.6,9.15
2024-02-16,1,2904,5461,1153.99,NA
2024-02-17,0,950,2639,276.38,8.89
2024-02-18,0,626,2138,216.66,7.51
2024-02-19,0,1894,4923,769.68,9.51
2024-02-20,0,1092,5066,347.34,8.74
2024-02-21,0,1436,6149,595.82,8.85
2024-02-22,1,2542,3752,1062.54,8.9
2024-02-23,0,1126,6746,456.07,9.63
2024-02-24,0,815,2217,242.19,8.82
2024-02-25,0,611,2106,188.94,7.54
2024-02-26,0,1540,4685,622.82,9.31
2024-02-27,0,1043,4377,379.03,9.65
2024-02-28,0,1576,7892,464.23,8.59
2024-02-29,0,814,9978,315.85,8.63
